#Freq       VP(4)      VP(6)     
 1.2589E+3 -111.08     94.942    
 1.2882E+3 -111.53     94.827    
 1.3183E+3 -111.99     94.714    
 1.349E+3  -112.45     94.604    
 1.3804E+3 -112.93     94.496    
 1.4125E+3 -113.41     94.39     
 1.4454E+3 -113.9      94.287    
 1.4791E+3 -114.39     94.186    
 1.5136E+3 -114.9      94.087    
 1.5488E+3 -115.41     93.99     
 1.5849E+3 -115.93     93.896    
 1.6218E+3 -116.46     93.803    
 1.6596E+3 -116.99     93.712    
 1.6982E+3 -117.54     93.624    
 1.7378E+3 -118.09     93.537    
 1.7783E+3 -118.65     93.452    
 1.8197E+3 -119.21     93.369    
 1.8621E+3 -119.78     93.288    
 1.9055E+3 -120.36     93.208    
 1.9498E+3 -120.95     93.13     
 1.9953E+3 -121.55     93.054    
 2.0417E+3 -122.15     92.979    
 2.0893E+3 -122.76     92.906    
 2.138E+3  -123.37     92.835    
 2.1878E+3 -123.99     92.764    
 2.2387E+3 -124.62     92.696    
 2.2909E+3 -125.25     92.629    
 2.3442E+3 -125.89     92.563    
 2.3988E+3 -126.53     92.498    
 2.4547E+3 -127.18     92.435    
 2.5119E+3 -127.83     92.373    
 2.5704E+3 -128.49     92.313    
 2.6303E+3 -129.15     92.253    
 2.6915E+3 -129.82     92.195    
 2.7542E+3 -130.49     92.138    
 2.8184E+3 -131.16     92.082    
 2.884E+3  -131.84     92.027    
 2.9512E+3 -132.51     91.974    
 3.02E+3   -133.2      91.921    
 3.0903E+3 -133.88     91.869    
 3.1623E+3 -134.57     91.819    
 3.2359E+3 -135.25     91.769    
 3.3113E+3 -135.94     91.72     
 3.3884E+3 -136.63     91.672    
 3.4674E+3 -137.32     91.625    
 3.5481E+3 -138.01     91.579    
 3.6308E+3 -138.7      91.534    
 3.7154E+3 -139.39     91.489    
 3.8019E+3 -140.08     91.445    
 3.8905E+3 -140.77     91.402    
 3.9811E+3 -141.45     91.36     
 4.0738E+3 -142.14     91.319    
 4.1687E+3 -142.82     91.278    
 4.2658E+3 -143.5      91.238    
 4.3652E+3 -144.17     91.198    
 4.4668E+3 -144.85     91.16     
